Energy,LAC
0.0061305,82500000
0.006222,88600000
0.01069,95000000
0.01142761,106000000
0.01221612,115000000
0.0139601,115000000
0.0238073,115000000
0.02720606,106000000
0.02908327,106000000
0.03109002,82100000
0.032928,78300000
0.03323523,74900000
0.033432,80500000
0.0335664,73000000
0.033768,69700000
0.034272,69000000
0.034888,66200000
0.035422,65300000
0.03552846,66200000
0.0355644,62000000
0.03577,61800000
0.035778,61300000
0.0363175,64200000
0.0364635,60700000
0.0366825,59900000
0.03723,61000000
0.03797993,55800000
0.04060054,50400000
0.04340198,76500000
0.045864,67500000
0.04639671,64600000
0.046566,65700000
0.0467532,66000000
0.047034,68400000
0.047736,63700000
0.04959809,57900000
0.05302035,59400000
0.05667876,61800000
0.06058959,45800000
0.06477028,39300000
0.06923942,31800000
0.07401695,27900000
0.075558,26800000
0.0767145,26100000
0.0770229,25600000
0.0774855,25600000
0.078642,25600000
0.07912411,25300000
0.08458368,24200000
0.09041995,23600000
0.09665893,24300000
0.1,5260000
0.1005,5340000
0.1010025,5360000
0.10150751,5440000
0.10201505,5420000
0.10252513,5350000
0.10303775,5440000
0.10355294,5410000
0.1040707,5580000
0.10459106,5600000
0.10511401,5670000
0.10563958,5580000
0.10616778,5670000
0.10669862,5660000
0.10723211,5710000
0.10776827,5800000
0.10830712,5680000
0.10884865,5800000
0.10939289,5910000
0.10993986,6080000
0.11048956,5990000
0.11104201,5930000
0.11159722,5980000
0.1121552,6090000
0.11271598,6090000
0.11327956,6030000
0.11384596,6190000
0.11441519,6290000
0.11498726,6240000
0.1155622,6210000
0.11614001,6340000
0.11672071,6270000
0.11730431,6490000
0.11789083,6400000
0.11848029,6460000
0.11907269,6520000
0.11966805,6520000
0.12026639,6490000
0.12086772,6740000
0.12147206,6730000
0.12207942,6760000
0.12268982,6870000
0.12330327,6920000
0.12391979,6810000
0.12453939,7060000
0.12516208,7020000
0.12578789,6960000
0.12641683,6960000
0.12704892,7010000
0.12768416,7150000
0.12832258,7070000
0.12896419,7200000
0.12960902,7220000
0.13025706,7270000
0.13090835,7200000
0.13156289,7310000
0.1322207,7420000
0.13288181,7580000
0.13354621,7570000
0.13421395,7450000
0.13488502,7500000
0.13555944,7610000
0.13623724,7690000
0.13691842,7760000
0.13760302,7740000
0.13829103,7610000
0.13898249,7800000
0.1396774,7850000
0.14037579,7860000
0.14107766,7890000
0.14178305,7790000
0.14249197,8130000
0.14320443,7910000
0.14392045,7990000
0.14464005,8010000
0.14536325,8010000
0.14609007,8110000
0.14682052,8050000
0.14755462,8010000
0.14829239,8280000
0.14903386,8120000
0.14977903,8410000
0.15052792,8320000
0.15128056,8310000
0.15203696,8310000
0.15279715,8220000
0.15356113,8200000
0.15432894,8620000
0.15510058,8330000
0.15587609,8460000
0.15665547,8540000
0.15743875,8490000
0.15822594,8500000
0.15901707,8680000
0.15981215,8590000
0.16061121,8650000
0.16141427,8580000
0.16222134,8600000
0.16303245,8500000
0.16384761,8800000
0.16466685,8600000
0.16549018,8770000
0.16631763,8560000
0.16714922,8850000
0.16798497,8730000
0.16882489,8930000
0.16966902,8900000
0.17051736,9010000
0.17136995,8830000
0.1722268,8810000
0.17308793,9100000
0.17395337,8890000
0.17482314,9000000
0.17569726,9010000
0.17657574,9020000
0.17745862,9010000
0.17834591,9180000
0.17923764,8940000
0.18013383,8880000
0.1810345,8880000
0.18193967,9020000
0.18284937,8870000
0.18376362,8860000
0.18468244,9050000
0.18560585,9260000
0.18653388,9060000
0.18746655,9180000
0.18840388,9260000
0.1893459,9180000
0.19029263,9230000
0.19124409,9020000
0.19220031,9010000
0.19316131,9260000
0.19412712,9270000
0.19509776,9040000
0.19607325,8840000
0.19705361,9210000
0.19803888,8980000
0.19902907,9190000
0.20002422,9170000
0.20102434,8950000
0.20202946,9120000
0.20303961,9390000
0.20405481,9020000
0.20507508,9390000
0.20610046,9110000
0.20713096,9200000
0.20816661,8920000
0.20920745,8820000
0.21025348,9120000
0.21130475,9080000
0.21236128,9190000
0.21342308,9270000
0.2144902,9200000
0.21556265,8700000
0.21664046,8750000
0.21772366,8880000
0.21881228,8780000
0.21990634,8970000
0.22100588,8860000
0.2221109,9070000
0.22322146,8890000
0.22433757,8910000
0.22545925,8910000
0.22658655,8790000
0.22771948,9000000
0.22885808,8730000
0.23000237,8850000
0.23115238,8770000
0.23230814,8950000
0.23346969,8820000
0.23463703,8950000
0.23581022,8750000
0.23698927,8590000
0.23817422,8770000
0.23936509,8670000
0.24056191,8660000
0.24176472,8740000
0.24297355,8540000
0.24418841,8540000
0.24521055,8480000
0.24540936,8540000
0.24558945,8430000
0.2466364,8500000
0.24786959,8480000
0.24910893,8850000
0.25035448,9130000
0.25160625,8790000
0.25286428,8920000
0.2541286,8620000
0.25539925,8830000
0.25667624,8610000
0.25795962,8530000
0.25859581,8580000
0.25900419,8710000
0.25924942,8430000
0.26054567,8530000
0.2618484,8950000
0.26315764,8720000
0.26447343,8880000
0.26579579,8880000
0.26712477,8660000
0.2684604,8620000
0.2698027,8590000
0.27115171,8440000
0.27250747,8420000
0.27387001,8490000
0.27523936,8570000
0.27661556,8480000
0.27799863,8380000
0.27938863,8470000
0.28078557,8440000
0.2821895,8400000
0.28360044,8210000
0.28501845,8290000
0.28644354,8390000
0.28787576,8070000
0.28931514,8070000
0.29076171,7970000
0.29221552,7830000
0.2936766,7900000
0.29514498,8030000
0.29662071,7970000
0.29810381,7890000
0.29959433,7770000
0.3010923,7640000
0.30259776,7790000
0.30411075,7700000
0.3056313,7470000
