Energy,LAC
"6.130500E-03	",9.1079E+05
"6.222000E-03	",8.9237E+05
"1.069000E-02	",1.1609E+06
"1.142761E-02	",1.2815E+06
"1.221612E-02	",1.3990E+06
"1.305903E-02	",1.5040E+06
"1.396010E-02	",1.5872E+06
"1.492335E-02	",1.6402E+06
"1.595306E-02	",1.6575E+06
"1.705382E-02	",1.6364E+06
"1.823053E-02	",1.5779E+06
"1.948844E-02	",1.4864E+06
"2.083314E-02	",1.3687E+06
"2.227063E-02	",1.2333E+06
"2.380730E-02	",1.0889E+06
"2.545001E-02	",9.4308E+05
"2.720606E-02	",8.0197E+05
"2.908327E-02	",6.7116E+05
"3.109002E-02	",5.5408E+05
"3.292800E-02	",4.6552E+05
"3.323523E-02	",4.5228E+05
"3.343200E-02	",4.4402E+05
"3.356640E-02	",4.3848E+05
"3.376800E-02	",4.8933E+05
"3.427200E-02	",4.6652E+05
"3.488800E-02	",4.4029E+05
"3.542200E-02	",4.1895E+05
"3.552846E-02	",4.1483E+05
"3.556440E-02	",4.1344E+05
"3.577000E-02	",1.0381E+06
"3.577800E-02	",1.0374E+06
"3.631750E-02	",9.9227E+05
"3.646350E-02	",9.8048E+05
"3.668250E-02	",1.0001E+06
"3.723000E-02	",9.5676E+05
"3.797993E-02	",9.0146E+05
"4.060054E-02	",7.3805E+05
"4.340198E-02	",5.9828E+05
"4.586400E-02	",5.0124E+05
"4.639671E-02	",4.8304E+05
"4.656600E-02	",4.7744E+05
"4.675320E-02	",4.7138E+05
"4.703400E-02	",6.9860E+05
"4.773600E-02	",6.7141E+05
"4.959809E-02	",6.0706E+05
"5.302035E-02	",5.1259E+05
"5.667876E-02	",4.3184E+05
"6.058959E-02	",3.6539E+05
"6.477028E-02	",3.1432E+05
"6.923942E-02	",2.7823E+05
"7.401695E-02	",2.5582E+05
"7.555800E-02	",2.5138E+05
"7.671450E-02	",2.4882E+05
"7.702290E-02	",2.4824E+05
"7.748550E-02	",2.5094E+05
"7.864200E-02	",2.4936E+05
"7.912411E-02	",2.4885E+05
"8.458368E-02	",2.4853E+05
"9.041995E-02	",2.5646E+05
"9.665893E-02	",2.7099E+05
"1.0000000E-01	",2.8041E+05
"1.0050000E-01	",2.8188E+05
"1.0100250E-01	",2.8338E+05
"1.0150751E-01	",2.8491E+05
"1.0201505E-01	",2.8645E+05
"1.0252513E-01	",2.8801E+05
"1.0303775E-01	",2.8958E+05
"1.0355294E-01	",2.9118E+05
"1.0407070E-01	",2.9280E+05
"1.0459106E-01	",2.9444E+05
"1.0511401E-01	",2.9610E+05
"1.0563958E-01	",2.9776E+05
"1.0616778E-01	",2.9946E+05
"1.0669862E-01	",3.0116E+05
"1.0723211E-01	",3.0287E+05
"1.0776827E-01	",3.0459E+05
"1.0830712E-01	",3.0635E+05
"1.0884865E-01	",3.0811E+05
"1.0939289E-01	",3.0986E+05
"1.0993986E-01	",3.1164E+05
"1.1048956E-01	",3.1343E+05
"1.1104201E-01	",3.1523E+05
