File,Entries,Mean,Max Energy,E0,Thickness (m),Energy P,HITS P,Intensity,Coeff
E1.root,71,0.0061305,0.0061305,0.0061305,6.00E-08,1,0.0071,0.0071,8.25E+07
E2.root,49,0.006222,0.006222,0.006222,6.00E-08,1,0.0049,0.0049,8.86E+07
E3.root,5,0.01069,0.01069,0.01069,8.00E-08,1,0.0005,0.0005,9.50E+07
E4.root,2,0.0114276,0.0114276,0.01142761,8.00E-08,1.000000875,0.0002,0.0002,1.06E+08
E12.root,1,0.0122161,0.0122161,0.01221612,8.00E-08,1.000001637,0.0001,0.0001,1.15E+08
E33.root,1,0.0139601,0.0139601,0.0139601,8.00E-08,1,0.0001,0.0001,1.15E+08
E5.root,1,0.0238073,0.0238073,0.0238073,8.00E-08,1,0.0001,0.0001,1.15E+08
E6.root,2,0.0272061,0.0272061,0.02720606,8.00E-08,0.99999853,0.0002,0.0002,1.06E+08
E7.root,2,0.0290833,0.0290833,0.02908327,8.00E-08,0.999998968,0.0002,0.0002,1.06E+08
E8.root,14,0.03109,0.03109,0.03109002,8.00E-08,1.000000643,0.0014,0.001400001,8.21E+07
E9.root,19,0.032928,0.032928,0.032928,8.00E-08,1,0.0019,0.0019,7.83E+07
E10.root,25,0.0332352,0.0332352,0.03323523,8.00E-08,1.000000903,0.0025,0.002500002,7.49E+07
E11.root,16,0.033432,0.033432,0.033432,8.00E-08,1,0.0016,0.0016,8.05E+07
E13.root,29,0.0335664,0.0335664,0.0335664,8.00E-08,1,0.0029,0.0029,7.30E+07
E14.root,38,0.033768,0.033768,0.033768,8.00E-08,1,0.0038,0.0038,6.97E+07
E15.root,40,0.034272,0.034272,0.034272,8.00E-08,1,0.004,0.004,6.90E+07
E16.root,50,0.034888,0.034888,0.034888,8.00E-08,1,0.005,0.005,6.62E+07
E17.root,54,0.035422,0.035422,0.035422,8.00E-08,1,0.0054,0.0054,6.53E+07
E18.root,50,0.0355285,0.0355285,0.03552846,8.00E-08,0.999998874,0.005,0.004999994,6.62E+07
E19.root,70,0.0355644,0.0355644,0.0355644,8.00E-08,1,0.007,0.007,6.20E+07
E20.root,71,0.03577,0.03577,0.03577,8.00E-08,1,0.0071,0.0071,6.18E+07
E21.root,74,0.035778,0.035778,0.035778,8.00E-08,1,0.0074,0.0074,6.13E+07
E22.root,59,0.0363175,0.0363175,0.0363175,8.00E-08,1,0.0059,0.0059,6.42E+07
E23.root,78,0.0364635,0.0364635,0.0364635,8.00E-08,1,0.0078,0.0078,6.07E+07
E24.root,83,0.0366825,0.0366825,0.0366825,8.00E-08,1,0.0083,0.0083,5.99E+07
E25.root,76,0.03723,0.03723,0.03723,8.00E-08,1,0.0076,0.0076,6.10E+07
E26.root,115,0.0379799,0.0379799,0.03797993,8.00E-08,1.00000079,0.0115,0.011500009,5.58E+07
E27.root,178,0.0406005,0.0406005,0.04060054,8.00E-08,1.000000985,0.0178,0.017800018,5.04E+07
E28.root,22,0.043402,0.043402,0.04340198,8.00E-08,0.999999539,0.0022,0.002199999,7.65E+07
E29.root,45,0.045864,0.045864,0.045864,8.00E-08,1,0.0045,0.0045,6.75E+07
E30.root,57,0.0463967,0.0463967,0.04639671,8.00E-08,1.000000216,0.0057,0.005700001,6.46E+07
E31.root,52,0.046566,0.046566,0.046566,8.00E-08,1,0.0052,0.0052,6.57E+07
E32.root,51,0.0467532,0.0467532,0.0467532,8.00E-08,1,0.0051,0.0051,6.60E+07
E34.root,42,0.047034,0.047034,0.047034,8.00E-08,1,0.0042,0.0042,6.84E+07
E35.root,61,0.047736,0.047736,0.047736,8.00E-08,1,0.0061,0.0061,6.37E+07
E36.root,97,0.0495981,0.0495981,0.04959809,8.00E-08,0.999999798,0.0097,0.009699998,5.79E+07
E37.root,8,0.0530204,0.0530204,0.05302035,1.20E-07,0.999999057,0.0008,0.000799999,5.94E+07
E38.root,6,0.0566788,0.0566788,0.05667876,1.20E-07,0.999999294,0.0006,0.0006,6.18E+07
E44.root,41,0.0605896,0.0605896,0.06058959,1.20E-07,0.999999835,0.0041,0.004099999,4.58E+07
E45.root,90,0.0647703,0.0647703,0.06477028,1.20E-07,0.999999691,0.009,0.008999997,3.93E+07
E46.root,219,0.0692394,0.0692394,0.06923942,1.20E-07,1.000000289,0.0219,0.021900006,3.18E+07
E47.root,351,0.0740169,0.0740169,0.07401695,1.20E-07,1.000000676,0.0351,0.035100024,2.79E+07
E48.root,400,0.075558,0.075558,0.075558,1.20E-07,1,0.04,0.04,2.68E+07
E49.root,438,0.0767145,0.0767145,0.0767145,1.20E-07,1,0.0438,0.0438,2.61E+07
E50.root,462,0.0770229,0.0770229,0.0770229,1.20E-07,1,0.0462,0.0462,2.56E+07
E51.root,462,0.0774855,0.0774855,0.0774855,1.20E-07,1,0.0462,0.0462,2.56E+07
E39.root,464,0.078642,0.078642,0.078642,1.20E-07,1,0.0464,0.0464,2.56E+07
E40.root,480,0.0791241,0.0791241,0.07912411,1.20E-07,1.000000126,0.048,0.048000006,2.53E+07
E41.root,549,0.0845837,0.0845837,0.08458368,1.20E-07,0.999999764,0.0549,0.054899987,2.42E+07
E42.root,591,0.09042,0.09042,0.09041995,1.20E-07,0.999999447,0.0591,0.059099967,2.36E+07
E43.root,541,0.0966589,0.0966589,0.09665893,1.20E-07,1.00000031,0.0541,0.054100017,2.43E+07
E52.root,2295,0.1,0.1,0.1,2.80E-07,1,0.2295,0.2295,5.26E+06
E53.root,2239,0.1005,0.1005,0.1005,2.80E-07,1,0.2239,0.2239,5.34E+06
E164.root,2230,0.101003,0.101003,0.1010025,2.80E-07,0.99999505,0.223,0.222998896,5.36E+06
E275.root,2181,0.101508,0.101508,0.10150751,2.80E-07,0.999995173,0.2181,0.218098947,5.44E+06
E386.root,2193,0.102015,0.102015,0.10201505,2.80E-07,1.00000049,0.2193,0.219300107,5.42E+06
E448.root,2233,0.102525,0.102525,0.10252513,2.80E-07,1.000001268,0.2233,0.223300283,5.35E+06
E459.root,2178,0.103038,0.103038,0.10303775,2.80E-07,0.999997574,0.2178,0.217799472,5.44E+06
E470.root,2199,0.103553,0.103553,0.10355294,2.80E-07,0.999999421,0.2199,0.219899873,5.41E+06
E481.root,2096,0.104071,0.104071,0.1040707,2.80E-07,0.999997117,0.2096,0.209599396,5.58E+06
E492.root,2086,0.104591,0.104591,0.10459106,2.80E-07,1.000000574,0.2086,0.20860012,5.60E+06
E54.root,2045,0.105114,0.105114,0.10511401,2.80E-07,1.000000095,0.2045,0.204500019,5.67E+06
E65.root,2097,0.10564,0.10564,0.10563958,2.80E-07,0.999996024,0.2097,0.209699166,5.58E+06
E76.root,2043,0.106168,0.106168,0.10616778,2.80E-07,0.999997928,0.2043,0.204299577,5.67E+06
E87.root,2052,0.106699,0.106699,0.10669862,2.80E-07,0.999996439,0.2052,0.205199269,5.66E+06
E98.root,2023,0.107232,0.107232,0.10723211,2.80E-07,1.000001026,0.2023,0.202300208,5.71E+06
E109.root,1972,0.107768,0.107768,0.10776827,2.80E-07,1.000002505,0.1972,0.197200494,5.80E+06
E120.root,2039,0.108307,0.108307,0.10830712,2.80E-07,1.000001108,0.2039,0.203900226,5.68E+06
E131.root,1972,0.108849,0.108849,0.10884865,2.80E-07,0.999996785,0.1972,0.197199366,5.80E+06
E142.root,1910,0.109393,0.109393,0.10939289,2.80E-07,0.999998994,0.191,0.190999808,5.91E+06
E153.root,1820,0.10994,0.10994,0.10993986,2.80E-07,0.999998727,0.182,0.181999768,6.08E+06
E165.root,1870,0.11049,0.11049,0.11048956,2.80E-07,0.999996018,0.187,0.186999255,5.99E+06
E176.root,1899,0.111030919,0.111042,0.11104201,2.80E-07,1.000099891,0.1899,0.189918969,5.93E+06
E187.root,1874,0.111597,0.111597,0.11159722,2.80E-07,1.000001971,0.1874,0.187400369,5.98E+06
E198.root,1816,0.112155,0.112155,0.1121552,2.80E-07,1.000001783,0.1816,0.181600324,6.09E+06
E209.root,1817,0.112716,0.112716,0.11271598,2.80E-07,0.999999823,0.1817,0.181699968,6.09E+06
E220.root,1848,0.11328,0.11328,0.11327956,2.80E-07,0.999996116,0.1848,0.184799282,6.03E+06
E231.root,1766,0.113846,0.113846,0.11384596,2.80E-07,0.999999649,0.1766,0.176599938,6.19E+06
E242.root,1720,0.114415,0.114415,0.11441519,2.80E-07,1.000001661,0.172,0.172000286,6.29E+06
E253.root,1742,0.114987,0.114987,0.11498726,2.80E-07,1.000002261,0.1742,0.174200394,6.24E+06
