Run Number,Hits,Average Energy,Extracted Energy (keV),Thickness (cm),,EnergyP,HitsP,MAC
0,3785,0.006222,0.006222,1.50E-06,,1,0.3785,2.40E+05
1,2907,0.00635494,0.006354945,1.98E-06,,0.999999257,0.2907,2.31E+05
10,892,0.00768684,0.007686838,2.47E-06,,1.000000301,0.0892,3.62E+05
100,3705,0.051532756,0.051535566,2.98E-06,,0.999945488,0.3705,1.24E+05
101,3772,0.0526367,0.05263672,3.49E-06,,0.999999622,0.3772,1.03E+05
102,3798,0.0537614,0.053761402,4.01E-06,,0.999999957,0.3798,8.93E+04
103,3881,0.0549101,0.054910116,4.55E-06,,0.999999714,0.3881,7.71E+04
104,3902,0.0560834,0.056083374,5.10E-06,,1.000000472,0.3902,6.84E+04
105,3940,0.0572817,0.0572817,5.65E-06,,0.999999997,0.394,6.10E+04
106,4300,0.0585056,0.058505631,6.22E-06,,0.999999465,0.43,5.02E+04
107,4520,0.0597557,0.059755714,6.81E-06,,0.999999764,0.452,4.32E+04
108,4747,0.0610325,0.061032507,7.40E-06,,0.999999882,0.4747,3.73E+04
109,5095,0.062327038,0.062336581,8.01E-06,,0.999846911,0.5095,3.12E+04
11,910,0.00785108,0.007851081,8.63E-06,,0.999999819,0.091,1.03E+05
110,5290,0.0636685,0.06366852,9.26E-06,,0.999999692,0.529,2.55E+04
111,5533,0.0650289,0.065028917,9.91E-06,,0.999999736,0.5533,2.21E+04
112,5834,0.0664184,0.066418382,1.06E-05,,1.000000269,0.5834,1.89E+04
113,6226,0.0678375,0.067837536,1.12E-05,,0.999999474,0.6226,1.56E+04
114,6475,0.069287,0.069287012,1.19E-05,,0.999999825,0.6475,1.35E+04
115,6709,0.0707675,0.070767459,1.26E-05,,1.000000575,0.6709,1.17E+04
116,7008,0.0722795,0.072279539,1.34E-05,,0.99999946,0.7008,9.85E+03
117,7313,0.073817497,0.073823927,1.41E-05,,0.9999129,0.7313,8.22E+03
118,7652,0.0754013,0.075401314,1.48E-05,,0.999999813,0.7652,6.68E+03
119,4259,0.0770124,0.077012405,1.56E-05,,0.999999937,0.4259,2.02E+04
12,909,0.00801883,0.008018835,1.64E-05,,0.999999435,0.0909,5.42E+04
120,3484,0.0786579,0.07865792,1.72E-05,,0.99999975,0.3484,2.27E+04
121,2332,0.0803386,0.080338594,1.80E-05,,1.000000076,0.2332,2.99E+04
122,1319,0.0820552,0.082055179,1.88E-05,,1.000000257,0.1319,3.98E+04
123,776,0.0838084,0.083808442,1.97E-05,,0.999999499,0.0776,4.81E+04
124,510,0.0855992,0.085599167,2.06E-05,,1.000000388,0.051,5.36E+04
125,524,0.0874282,0.087428154,2.15E-05,,1.000000528,0.0524,5.09E+04
126,523,0.0892962,0.089296221,2.24E-05,,0.999999769,0.0523,4.89E+04
127,638,0.0912042,0.091204202,2.33E-05,,0.999999976,0.0638,4.38E+04
128,839,0.093153,0.093152951,2.42E-05,,1.000000522,0.0839,3.79E+04
129,1142,0.0951433,0.095143339,2.52E-05,,0.999999588,0.1142,3.19E+04
13,931,0.00819017,0.008190172,2.62E-05,,0.999999756,0.0931,3.36E+04
130,1643,0.0971763,0.097176255,2.72E-05,,1.000000459,0.1643,2.46E+04
131,2234,0.0992526,0.099252609,2.82E-05,,0.999999912,0.2234,1.97E+04
132,3214,0.101373,0.101373327,2.93E-05,,0.999996772,0.3214,1.44E+04
133,3395,0.103539,0.103539359,3.04E-05,,0.999996535,0.3395,1.32E+04
134,3344,0.105752,0.105751672,3.15E-05,,1.000003104,0.3344,1.29E+04
135,3336,0.108011,0.108011255,3.26E-05,,0.99999764,0.3336,1.25E+04
136,3293,0.110319,0.110319118,3.37E-05,,0.999998927,0.3293,1.22E+04
137,3314,0.112676,0.112676294,3.49E-05,,0.999997394,0.3314,1.17E+04
138,3362,0.115084,0.115083834,3.61E-05,,1.000001439,0.3362,1.12E+04
139,3430,0.117543,0.117542817,3.73E-05,,1.000001559,0.343,1.06E+04
14,907,0.00836517,0.00836517,3.86E-05,,0.999999951,0.0907,2.30E+04
140,3487,0.120054,0.12005434,3.98E-05,,0.999997169,0.3487,9.79E+03
141,3188,0.12262,0.122619526,4.11E-05,,1.000003862,0.3188,1.03E+04
142,3231,0.12524,0.125239523,4.25E-05,,1.000003809,0.3231,9.85E+03
143,3357,0.127916,0.127915501,4.38E-05,,1.000003903,0.3357,9.22E+03
144,3406,0.130649,0.130648656,4.50E-05,,1.000002635,0.3406,8.87E+03
145,3547,0.13344,0.13344021,4.48E-05,,0.999998428,0.3547,8.57E+03
146,3475,0.136291,0.136291411,4.46E-05,,0.999996987,0.3475,8.78E+03
147,3494,0.139204,0.139203533,4.44E-05,,1.000003357,0.3494,8.77E+03
148,3546,0.142178,0.142177878,4.42E-05,,1.00000086,0.3546,8.69E+03
149,3583,0.145216,0.145215775,4.40E-05,,1.000001548,0.3583,8.64E+03
15,965,0.00854391,0.008543908,4.38E-05,,1.000000235,0.0965,1.98E+04
150,3702,0.148319,0.148318583,4.36E-05,,1.00000281,0.3702,8.44E+03
151,3714,0.151488,0.151487688,4.34E-05,,1.000002057,0.3714,8.46E+03
152,3697,0.154725,0.154724507,4.31E-05,,1.000003183,0.3697,8.54E+03
153,3746,0.15803,0.158030487,4.29E-05,,0.999996916,0.3746,8.47E+03
154,3974,0.161407,0.161407106,4.27E-05,,0.999999346,0.3974,8.01E+03
155,3837,0.164856,0.164855872,4.25E-05,,1.000000778,0.3837,8.36E+03
156,3778,0.168378,0.168378327,4.22E-05,,0.999998057,0.3778,8.54E+03
157,3695,0.171976,0.171976047,4.20E-05,,0.999999729,0.3695,8.79E+03
158,3611,0.175651,0.175650638,4.17E-05,,1.000002061,0.3611,9.04E+03
159,3792,0.179404,0.179403744,4.15E-05,,1.000001428,0.3792,8.66E+03
16,1001,0.00872646,0.008726465,4.12E-05,,0.999999468,0.1001,2.07E+04
160,3850,0.183237,0.183237042,4.09E-05,,0.999999771,0.385,8.64E+03
161,4070,0.187152,0.187152246,4.07E-05,,0.999998687,0.407,8.19E+03
162,4314,0.191151,0.191151105,4.04E-05,,0.99999945,0.4314,7.71E+03
163,4338,0.195235,0.195235408,4.01E-05,,0.999997912,0.4338,7.71E+03
164,4537,0.199407,0.199406979,3.98E-05,,1.000000106,0.4537,7.35E+03
165,4609,0.203668,0.203667684,3.95E-05,,1.000001553,0.4609,7.26E+03
