Energy (keV),LACm
0.00613,47303.93684
0.006222,46347.25252
0.01069,60293.96489
0.011428,66557.59842
0.012216,72660.22645
0.020833,71086.52747
0.023807,56554.48219
0.02545,48980.99096
0.027206,41652.12423
0.029083,34858.21128
0.03109,28777.3969
0.032928,24177.83318
0.033235,23490.18386
0.033432,23061.18209
0.033566,22773.44967
0.033768,25414.45933
0.034272,24229.77044
0.034888,22867.45611
0.035422,21759.11499
0.035528,21545.13348
0.035564,21472.94069
0.03577,53916.06939
0.035778,53879.71331
0.036318,51535.78477
0.036464,50923.44448
0.036682,51942.45352
0.03723,49691.49268
0.03798,46819.36221
0.040601,38332.29459
0.043402,31073.02379
0.045864,26033.0321
0.046397,25087.77397
0.046566,24796.92531
0.046753,24482.18552
0.047034,36283.36969
0.047736,34871.1956
0.049598,31529.03293
0.05302,26622.52
0.056679,22428.58627
0.06059,18977.35535
0.06477,16324.9195
0.069239,14450.50379
0.074017,13286.5898
0.075558,13055.98837
0.076715,12923.02898
0.077023,12892.90537
0.077485,13033.13597
0.078642,12951.0751
0.079124,12924.5871
0.084584,12907.96718
0.09042,13319.82965
0.096659,14074.47803
0.1,14563.72702
0.1005,14640.07479
0.101002,14717.98068
0.101508,14797.44469
0.102015,14877.42807
0.102525,14958.45019
0.103038,15039.99169
0.103553,15123.09131
0.104071,15207.22967
0.104591,15292.40677
0.105114,15378.62262
0.10564,15464.83848
0.106168,15553.13182
0.106699,15641.42516
0.107232,15730.23787
0.107768,15819.56996
0.108307,15910.97954
0.108849,16002.38911
0.109393,16093.27932
0.10994,16185.72764
0.11049,16278.69534
0.111042,16372.1824
0.111597,16466.18884
0.112155,16560.71466
0.112716,16655.75984
0.11328,16750.80503
0.114415,16942.45352
0.114987,17039.57619
0.115562,17136.69887
0.11614,17234.86029
0.116721,17333.54108
0.117304,17431.7025
0.117891,17529.86392
0.11848,17628.02535
0.119073,17726.18677
0.120868,18021.1904
0.121472,18119.35182
0.122079,18217.51324
0.12269,18315.67467
0.123303,18412.79734
0.124539,18608.60081
0.125162,18705.72349
0.126417,18897.89135
0.127049,18994.49465
0.127684,19089.53984
0.128964,19280.14958
0.129609,19374.15602
0.130257,19467.64309
0.132221,19744.98805
0.133546,19927.28784
0.136237,20282.53869
0.137603,20452.89291
0.138291,20537.03127
0.139677,20700.11426
0.140376,20780.61701
0.141078,20859.56165
0.142492,21014.33468
0.14464,21234.54867
0.14609,21375.81801
0.147555,21510.33551
0.154329,22032.30498
0.158226,22260.82892
0.161414,22412.48572
0.162221,22446.24494
0.170517,22682.0401
0.174823,22733.97736
0.1922,22552.71632
0.210253,21891.03563
0.212361,21792.87421
0.223221,21237.6649
0.228858,20925.0026
0.238174,20382.7776
0.245589,20918.77013
0.258596,19948.58211
0.269803,19759.01111
0.275239,19330.00935
0.282189,18796.61369
0.285018,18583.15155
0.289315,18266.33427
0.292216,18057.02711
0.296621,17745.40355
0.298104,17642.04841
0.299594,17538.69326
0.301092,17436.37686
0.302598,17334.06045
0.308695,16929.4692
0.310239,16829.23029
0.314916,16530.59105
0.31649,16431.39088
0.318073,16332.71009
0.319663,16234.54867
0.321261,16136.38724
0.322868,16039.26457
0.326104,15845.01922
0.33102,15557.2868
0.332676,15461.72224
0.334339,15366.67705
0.339379,15085.17711
0.341076,14991.69004
0.342781,14899.76109
0.344495,14806.27402
0.349689,14531.52592
0.351437,14441.67446
0.35496,14260.93279
0.356735,14171.60071
0.358519,14082.78799
0.360311,13994.49465
0.362113,13906.20131
0.363923,13818.94671
0.365743,13731.69212
0.367572,13644.43752
0.36941,13558.22167
0.371257,13472.00582
0.373113,13386.82871
0.374978,13301.6516
0.376853,13217.51324
0.378738,13133.37488
0.380631,13050.27527
0.382534,12966.65628
0.384447,12883.55666
0.386369,12801.49579
0.388301,12720.47367
0.390243,12638.93217
0.392194,12557.91004
0.394155,12477.92666
0.396126,12397.42391
0.398106,12318.47928
0.400097,12239.01527
0.402097,12161.10938
0.404108,12082.68412
0.406128,12005.81697
0.408159,11928.43046
0.4102,11851.04394
0.412251,11775.21554
0.414312,11698.86777
0.416384,11623.55874
0.418466,11549.28846
0.420558,11474.49881
0.422661,11401.26727
0.424774,11326.99699
0.424777,11326.99699
0.425823,12065.54482
0.426898,12027.63062
0.429032,11953.36034
0.431177,11879.09006
0.433333,11805.33915
0.4355,11732.10761
0.437678,11659.91482
0.439866,11587.72203
0.442065,11515.52924
0.444276,11444.37519
0.446497,11373.22115
0.448729,11302.0671
0.450973,11231.9518
0.453228,11162.35587
0.455494,11093.27932
0.457772,11024.20276
0.46006,10956.16495
0.462361,10888.12714
0.464673,10819.56996
0.466996,10752.57089
0.469331,10685.57183
0.471678,10619.09214
0.474036,10553.13182
0.476406,10488.21024
0.478788,10421.73055
0.481182,10357.84772
0.483588,10292.40677
0.486006,10228.52394
0.488436,10165.16049
0.490878,10101.27766
0.490922,10100.23891
0.492278,10230.60143
0.493333,10203.07469
0.495799,10140.2306
0.498278,10077.90589
0.50077,10016.10055
0.503273,9954.295211
0.50579,9893.009245
0.508319,9831.723278
0.51086,9770.956684
0.513415,9710.709463
0.515982,9650.981614
0.518562,9591.253765
0.521154,9531.525917
0.52376,9472.836813
0.526379,9414.14771
0.529011,9355.458606
0.531656,9297.288875
0.534314,9239.638517
0.536986,9181.988158
0.539671,9124.857173
0.542369,9068.245559
0.545081,9011.633946
0.547806,8955.022333
0.550545,8898.930092
0.553298,8843.357224
0.556065,8787.784356
0.558845,8732.730861
0.561639,8677.677366
0.564447,8623.143243
0.56727,8569.128493
0.570106,8515.113743
0.572956,8461.098992
0.575821,8407.603615
0.5787,8354.108237
0.581594,8301.132232
0.584502,8248.6756
0.587424,8196.218967
0.590361,8143.762335
0.593313,8091.825075
0.594108,8077.802015
0.595893,8252.311208
0.59628,8245.039992
0.599261,8193.102732
0.602258,8141.165472
0.605269,8089.228212
0.608295,8037.810325
0.611337,7986.911811
0.614393,7936.013296
0.617465,7885.114781
0.620553,7834.735639
0.623655,7784.356497
0.626774,7734.496728
0.629908,7684.636959
0.633057,7631.141581
0.636222,7575.568713
0.639403,7519.995845
0.6426,7465.461722
0.645813,7410.408227
0.649043,7356.393477
0.652288,7302.378726
0.655549,7248.883349
0.658827,7195.387971
0.662121,7142.411966
0.665432,7089.435961
0.668759,7036.979329
0.672103,6985.042069
0.675463,6933.104809
0.67884,6881.16755
0.682235,6830.269035
0.685646,6778.851148
0.689074,6724.317025
0.692519,6669.782902
0.695982,6616.287525
0.699462,6562.792147
0.702959,6509.29677
0.706474,6456.840137
0.710006,6404.383505
0.713556,6351.926872
0.717124,6299.989613
0.72071,6248.571725
0.724313,6197.153838
0.727935,6145.735951
0.731575,6094.837436
0.735233,6044.458294
0.738909,5994.598525
0.742603,5944.219383
0.746316,5894.878986
0.750048,5846.057962
0.753798,5797.236938
0.757567,5748.415914
0.761355,5700.633635
0.765162,5652.331983
0.768987,5605.069077
0.772832,5557.80617
0.776697,5511.062636
0.78058,5464.319103
0.784483,5418.094941
0.788405,5372.390153
0.792347,5326.685364
0.796309,5281.499948
0.800291,5236.314532
0.804292,5191.856238
0.808314,5147.553755
0.812355,5103.562896
0.816417,5059.935598
0.820499,5016.567986
0.824601,4973.563935
0.828725,4930.767633
0.832868,4888.334891
0.837032,4846.057962
0.841218,4804.144593
