Run Number,Hits,Average Energy,Energy (keV),RealC,Thickness
0,71,0.006130499999999995,0.006130,910790.000000,6.00000e-06
1,49,0.006222000000000003,0.006222,892370.000000,6.00000e-06
100,2,0.12207899999999998,0.122079,350760.000000,2.80000e-05
101,2,0.12269000000000001,0.122690,352650.000000,2.80000e-05
102,1,0.12330300000000001,0.123303,354520.000000,2.80000e-05
104,1,0.12453900000000001,0.124539,358290.000000,2.80000e-05
105,1,0.125162,0.125162,360160.000000,2.80000e-05
107,1,0.126417,0.126417,363860.000000,2.80000e-05
108,1,0.12704899999999997,0.127049,365720.000000,2.80000e-05
109,2,0.127684,0.127684,367550.000000,2.80000e-05
111,1,0.128964,0.128964,371220.000000,2.80000e-05
112,1,0.129609,0.129609,373030.000000,2.80000e-05
113,2,0.13025699999999998,0.130257,374830.000000,2.80000e-05
116,1,0.13222099999999998,0.132221,380170.000000,2.80000e-05
118,1,0.13354599999999997,0.133546,383680.000000,2.80000e-05
12,1,0.0208331,0.020833,1368700.000000,8.00000e-06
122,1,0.13623700000000002,0.136237,390520.000000,2.80000e-05
124,1,0.137603,0.137603,393800.000000,2.80000e-05
125,1,0.138291,0.138291,395420.000000,2.80000e-05
127,2,0.139677,0.139677,398560.000000,2.80000e-05
128,1,0.140376,0.140376,400110.000000,2.80000e-05
129,1,0.14107799999999998,0.141078,401630.000000,2.80000e-05
131,1,0.142492,0.142492,404610.000000,2.80000e-05
134,1,0.14464,0.144640,408850.000000,2.80000e-05
136,1,0.14609,0.146090,411570.000000,2.80000e-05
138,1,0.147555,0.147555,414160.000000,2.80000e-05
14,1,0.023807299999999997,0.023807,1088900.000000,8.00000e-06
147,2,0.154329,0.154329,424210.000000,2.80000e-05
15,1,0.025449999999999997,0.025450,943080.000000,8.00000e-06
152,1,0.158226,0.158226,428610.000000,2.80000e-05
156,1,0.161414,0.161414,431530.000000,2.80000e-05
157,1,0.162221,0.162221,432180.000000,2.80000e-05
16,1,0.0272061,0.027206,801970.000000,8.00000e-06
167,1,0.170517,0.170517,436720.000000,2.80000e-05
17,3,0.029083299999999996,0.029083,671160.000000,8.00000e-06
172,1,0.174823,0.174823,437720.000000,2.80000e-05
18,10,0.03109,0.031090,554080.000000,8.00000e-06
19,13,0.032928000000000006,0.032928,465520.000000,8.00000e-06
191,1,0.19219999999999998,0.192200,434230.000000,2.80000e-05
2,4,0.01069,0.010690,1160900.000000,8.00000e-06
20,26,0.03323520000000001,0.033235,452280.000000,8.00000e-06
209,1,0.210253,0.210253,421490.000000,2.80000e-05
21,34,0.033431999999999996,0.033432,444020.000000,8.00000e-06
211,2,0.212361,0.212361,419600.000000,2.80000e-05
22,30,0.033566399999999996,0.033566,438480.000000,8.00000e-06
221,2,0.223221,0.223221,408910.000000,2.80000e-05
226,1,0.22885799999999998,0.228858,402890.000000,2.80000e-05
23,29,0.03376800000000001,0.033768,489330.000000,8.00000e-06
234,1,0.23817399999999997,0.238174,392450.000000,2.80000e-05
24,37,0.034272,0.034272,466520.000000,8.00000e-06
242,1,0.245589,0.245589,402770.000000,2.80000e-05
